global_id,Number,Cells
670653676,1,"{'Name': 'Блокфлейта', 'ID': 18, 'global_id': 670653676}"
670653677,2,"{'Name': 'Волынка', 'ID': 19, 'global_id': 670653677}"
670653678,3,"{'Name': 'Флейта', 'ID': 20, 'global_id': 670653678}"
670653679,4,"{'Name': 'Саксофон', 'ID': 21, 'global_id': 670653679}"
670653680,5,"{'Name': 'Кларнет', 'ID': 22, 'global_id': 670653680}"
670653681,6,"{'Name': 'Гобой', 'ID': 23, 'global_id': 670653681}"
670653682,7,"{'Name': 'Фагот', 'ID': 24, 'global_id': 670653682}"
670653683,8,"{'Name': 'Другие (духовые деревянные)', 'ID': 25, 'global_id': 670653683}"
670653684,9,"{'Name': 'Валторна', 'ID': 26, 'global_id': 670653684}"
670653685,10,"{'Name': 'Корнет', 'ID': 27, 'global_id': 670653685}"
670653686,11,"{'Name': 'Тромбон', 'ID': 28, 'global_id': 670653686}"
670653687,12,"{'Name': 'Труба', 'ID': 29, 'global_id': 670653687}"
670653688,13,"{'Name': 'Туба', 'ID': 30, 'global_id': 670653688}"
670653689,14,"{'Name': 'Другие (духовые медные)', 'ID': 31, 'global_id': 670653689}"
670653690,15,"{'Name': 'Клавесин', 'ID': 32, 'global_id': 670653690}"
670653691,16,"{'Name': 'Клавикорд', 'ID': 33, 'global_id': 670653691}"
670653693,17,"{'Name': 'Орган', 'ID': 34, 'global_id': 670653693}"
670653694,18,"{'Name': 'Органола', 'ID': 35, 'global_id': 670653694}"
670653696,19,"{'Name': 'Пианино', 'ID': 36, 'global_id': 670653696}"
670653697,20,"{'Name': 'Рояль', 'ID': 37, 'global_id': 670653697}"
670653699,21,"{'Name': 'Фортепиано', 'ID': 38, 'global_id': 670653699}"
670653700,22,"{'Name': 'Другие (клавишные)', 'ID': 39, 'global_id': 670653700}"
670653711,23,"{'Name': 'Пианола', 'ID': 40, 'global_id': 670653711}"
670653713,24,"{'Name': 'Другие (механические)', 'ID': 41, 'global_id': 670653713}"
670653714,25,"{'Name': 'Акустическая гитара', 'ID': 42, 'global_id': 670653714}"
670653733,26,"{'Name': 'Альт', 'ID': 43, 'global_id': 670653733}"
670653735,27,"{'Name': 'Арфа', 'ID': 44, 'global_id': 670653735}"
670653737,28,"{'Name': 'Балалайка', 'ID': 45, 'global_id': 670653737}"
670653741,29,"{'Name': 'Виола', 'ID': 46, 'global_id': 670653741}"
670653743,30,"{'Name': 'Виолончель', 'ID': 47, 'global_id': 670653743}"
670653745,31,"{'Name': 'Гитара', 'ID': 48, 'global_id': 670653745}"
670653746,32,"{'Name': 'Гусли', 'ID': 49, 'global_id': 670653746}"
670653748,33,"{'Name': 'Домра', 'ID': 50, 'global_id': 670653748}"
670653750,34,"{'Name': 'Контрабас', 'ID': 51, 'global_id': 670653750}"
670653756,35,"{'Name': 'Скрипка', 'ID': 52, 'global_id': 670653756}"
670653758,36,"{'Name': 'Другие (струнные)', 'ID': 53, 'global_id': 670653758}"
670653760,37,"{'Name': 'Барабан', 'ID': 54, 'global_id': 670653760}"
670653762,38,"{'Name': 'Бонго', 'ID': 55, 'global_id': 670653762}"
670653763,39,"{'Name': 'Бубен', 'ID': 56, 'global_id': 670653763}"
670653764,40,"{'Name': 'Вибрафон', 'ID': 57, 'global_id': 670653764}"
670653765,41,"{'Name': 'Гонг', 'ID': 58, 'global_id': 670653765}"
670653788,42,"{'Name': 'Кастаньеты', 'ID': 59, 'global_id': 670653788}"
670653789,43,"{'Name': 'Колокола', 'ID': 60, 'global_id': 670653789}"
670653790,44,"{'Name': 'Колокольчики', 'ID': 61, 'global_id': 670653790}"
670653792,45,"{'Name': 'Ксилофон', 'ID': 62, 'global_id': 670653792}"
670653793,46,"{'Name': 'Литавры', 'ID': 63, 'global_id': 670653793}"
670653795,47,"{'Name': 'Маракас', 'ID': 64, 'global_id': 670653795}"
670653796,48,"{'Name': 'Маримба', 'ID': 65, 'global_id': 670653796}"
670653797,49,"{'Name': 'Тарелки', 'ID': 66, 'global_id': 670653797}"
670653801,50,"{'Name': 'Треугольник', 'ID': 67, 'global_id': 670653801}"
670653802,51,"{'Name': 'Трещотка', 'ID': 68, 'global_id': 670653802}"
670653803,52,"{'Name': 'Ударная установка', 'ID': 69, 'global_id': 670653803}"
670653806,53,"{'Name': 'Цимбалы', 'ID': 70, 'global_id': 670653806}"
670653807,54,"{'Name': 'Другие (ударные)', 'ID': 71, 'global_id': 670653807}"
670653808,55,"{'Name': 'Бас-гитара', 'ID': 72, 'global_id': 670653808}"
670653809,56,"{'Name': 'Синтезатор', 'ID': 73, 'global_id': 670653809}"
670653810,57,"{'Name': 'Цифровое пианино', 'ID': 74, 'global_id': 670653810}"
670653811,58,"{'Name': 'Электрогитара', 'ID': 75, 'global_id': 670653811}"
670653812,59,"{'Name': 'Электроскрипка', 'ID': 76, 'global_id': 670653812}"
670653813,60,"{'Name': 'Другие (электромузыкальные)', 'ID': 77, 'global_id': 670653813}"
670653814,61,"{'Name': 'Аккордеон', 'ID': 78, 'global_id': 670653814}"
670653815,62,"{'Name': 'Баян', 'ID': 79, 'global_id': 670653815}"
670653816,63,"{'Name': 'Варган', 'ID': 80, 'global_id': 670653816}"
670653817,64,"{'Name': 'Гармоника', 'ID': 81, 'global_id': 670653817}"
670653818,65,"{'Name': 'Гармонь', 'ID': 82, 'global_id': 670653818}"
670653819,66,"{'Name': 'Жалейка', 'ID': 83, 'global_id': 670653819}"
670653820,67,"{'Name': 'Другие (язычковые)', 'ID': 84, 'global_id': 670653820}"
